Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Rosewood,Bonobo,Fragments,2022-01-14,57.0,242773.0,0
Surrender (feat. Curtis Harding),RÜFÜS DU SOL,Surrender,2021-10-21,54.0,336693.0,0
The Last Goodbye (feat. Bettye LaVette),ODESZA,The Last Goodbye (feat. Bettye LaVette),2022-02-08,65.0,358983.0,0
Promises - Paul Woolford & Diplo Remix,Diplo,Promises (Paul Woolford & Diplo Remix),2021-11-26,29.0,141847.0,0
Fragments,Bonobo,,,,,0
"Jacob’s Ladder, Pt. I: Liturgy",Brad Mehldau,Jacob's Ladder,2022-03-18,14.0,87454.0,0
Blooz,Grant Geissman,,,,,0
NOT TiGHT,DOMi & JD BECK,NOT TiGHT,2022-07-29,44.0,248894.0,0
Between Dreaming and Joy,Jeff Coffin,Between Dreaming and Joy,2022-08-26,24.0,375893.0,0
HOLIDAY,Turnstile,GLOW ON,2021-08-27,61.0,172020.0,0
Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne,Patient Number 9,2022-09-09,57.0,441402.0,0
Crawl!,IDLES,CRAWLER,2021-11-12,43.0,260519.0,0
Wild Child,The Black Keys,Dropout Boogie,2022-05-13,64.0,164866.0,0
Old Man,Beck,Old Man,2022-09-25,43.0,208226.0,0
So Happy It Hurts,Bryan Adams,So Happy It Hurts,2022-03-11,44.0,215186.0,0
BLACKOUT,Turnstile,GLOW ON,2021-08-27,60.0,173279.0,0
Kill Or Be Killed - Felsmann + Tiley Reinterpretation,Muse,Kill Or Be Killed (Felsmann + Tiley Reinterpretation),2023-02-10,57.0,171702.0,0
We’ll Be Back,Megadeth,"The Sick, The Dying… And The Dead!",2022-09-02,56.0,269466.0,0
Call Me Little Sunshine,Ghost,IMPERA,2022-03-11,65.0,284266.0,0
BLACKOUTS,Nana Herso,BLACKOUTS,2022-12-22,2.0,138688.0,0
Patient Number 9,nan,,,,,0
Harmonia's Dream,nan,,,,,0
Black Summer,nan,,,,,0
Lucifer On The Sofa,Spoon,Lucifer On The Sofa,2022-02-11,37.0,309283.0,0
mainstream sellout,Machine Gun Kelly,mainstream sellout,2022-03-25,52.0,107849.0,0
Crawler,Idles,,,,,0
The Boy Named If,Elvis Costello,The Boy Named If,2022-01-14,25.0,264640.0,0
Dropout Boogie,The Black Keys,,,,,0
Spitting Off the Edge of the World,Yeah Yeah Yeahs,Cool It Down,2022-09-30,62.0,257746.0,0
King,Florence + The Machine,Dance Fever,2022-05-13,60.0,280130.0,0
Certainty,Big Thief,Dragon New Warm Mountain I Believe In You,2022-02-11,59.0,187388.0,0
There’d Better Be A Mirrorball,Arctic Monkeys,The Car,2022-10-21,64.0,265798.0,0
Cool It Down,Yeah Yeah Yeahs,,,,,0
Fossora,Björk,Fossora,2022-09-30,29.0,259064.0,0
Dragon New Warm Mountain I Believe in You,Big Thief,Dragon New Warm Mountain I Believe In You,2022-02-11,49.0,283763.0,0
We Used to Wait,Arcade Fire,The Suburbs,2010-08-02,46.0,301400.0,0
Hurt Me So Good,Jazmine Sullivan,"Heaux Tales, Mo' Tales: The Deluxe",2022-02-11,53.0,211920.0,0
Over,Lucky Daye,Candydrip,2022-03-10,69.0,207413.0,0
Here with Me,Mary J. Blige,Some R&B Hits,2023-02-24,0.0,139630.0,0
