Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
All About Me!: My Remarkable Life In Show Business By Mel Brooks,Mel Brooks,,,,,0
You will be someone's ancestor. Act accordingly.,Amir Sulaiman,You Will Be Someone's Ancestor. Act Accordingly.,2022-09-26,8.0,281333.0,0
Hiding In Plain View,Malcolm-Jamal Warner's Miles Long,Hiding In Plain View,2022-09-27,12.0,214144.0,0
Call Us What We Carry: Poems,Amanda Gorman,,,,,0
Black Men Are Precious,Ethelbert Miller,Black Men Are Precious,2022-09-30,1.0,124000.0,0
We All Scream,Patton Oswalt,,,,,0
Sorry,Louis CK,,,,,0
"A Little Brains, a Little Talent",Randy Rainbow,"A Little Brains, a Little Talent",2021-10-29,6.0,212146.0,0
Comedy Monster,Jim Gaffigan,,,,,0
A Strange Loop,nan,,,,,0
Six: Live On Opening Night,nan,,,,,0
Mr. Saturday Night,nan,,,,,0
MJ The Musical,nan,,,,,0
"Caroline, Or Change",nan,,,,,0
West Side Story,La Marimba De Zeferino Nandayapa,20 Grandes Temas de la Pantalla,2018-01-20,0.0,353373.0,0
Main Titles (You’ve Been Called Back to Top Gun),Harold Faltermeyer,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,63.0,150666.0,0
"Stranger Things: Soundtrack from the Netflix Series, Season 4 (Vol 2)",nan,,,,,0
Elvis Waits,Nan Vernon,Manta Ray,1994-09-15,1.0,262760.0,0
Succession: Season 3,nan,,,,,0
The Power Of The Dog,nan,,,,,0
No Time to Die,Nando,No Time to Die,2020-02-27,0.0,246517.0,0
The Batman,nan,,,,,0
This Old World,Nancy Balyeat,Come to Me and Believe,2017-01-01,0.0,165200.0,0
Marvel's Guardians Of The Galaxy,nan,,,,,0
Call Of Duty®: Vanguard,nan,,,,,0
Aliens: Fireteam Elite,nan,,,,,0
Nobody Like U [From Turning Red],nan,,,,,0
Keep Rising (The Woman King) [From The Woman King],nan,,,,,0
Hold My Hand [From Top Gun: Maverick],nan,,,,,0
Carolina [From Where The Crawdads Sing],nan,,,,,0
Be Alive [From King Richard],nan,,,,,0
Japanese Snapshots for flute and piano performed by Nancy Tyler and Richard Riccardi - Original,Nancy Tyler and Richard Riccardi,Japanese Snapshots for flute and piano performed by Nancy Tyler and Richard Riccardi (Original),2019-01-05,0.0,222912.0,0
Fronteras (Borders) Suite: Al-Musafir Blues,nan,,,,,0
El País Invisible,nan,,,,,0
African Tales,nan,,,,,0
"Minnesota, WI",nan,,,,,0
Main Titles (Doctor Strange In The Multiverse Of Madness),nan,,,,,0
How Deep Is Your Love (feat. Eguie Castrillo),Nancy Zeltsman,Sweet Song,2005-07-19,0.0,218546.0,0
As Days Go By (An Arrangement Of The Family Matters Theme Song),nan,,,,,0
2 + 2 = 5 (Arr. Nathan Schram),nan,,,,,0
Optimistic Voices / No Love Dying,nan,,,,,0
Never Gonna Be Alone,nan,,,,,0
Let It Happen,nan,,,,,0
Voyeuristic Stance,Chel Nand,Bright Openhearted,2022-10-25,0.0,160003.0,0
Telos,nan,,,,,0
Everything Was Beautiful,nan,,,,,0
迷宮バタフライ-diverse-,Nana Mizuki,THE MUSEUM II,2011-11-23,28.0,304840.0,0
These Days in an Open Book,Nanci Griffith,Flyer,1994,16.0,212933.0,0
Black Pumas (Collector's Edition Box Set),nan,,,,,0
Big Mess,nan,,,,,0
Artists Inspired By Music: Interscope Reimagined,nan,,,,,0
Life's Work: A Retrospective,nan,,,,,0
"Harry Partch, 1942",nan,,,,,0
Andy Irvine & Paul Brady,nan,,,,,0
The American Clavé Recordings,nan,,,,,0
To Whom It May Concern...,nan,,,,,0
Life’s Work: A Retrospective,nan,,,,,0
The Goldberg Variations - The Complete Unreleased 1981 Studio Sessions,nan,,,,,0
Against The Odds: 1974-1982,nan,,,,,0
Laura Veltz,nan,,,,,0
This Time The Dream's On Me - Remastered,Nancy Wilson,Something Wonderful,2004-01-01,30.0,139906.0,0
Nija Charles,nan,,,,,0
Amy Allen,nan,,,,,0
Wet Leg,nan,,,,,0
Black Radio III,nan,,,,,0
Chloë and the Next 20th Century,nan,,,,,0
Adolescence,nan,,,,,0
"Dernst \""D'mile\"" Emile II",nan,,,,,0
Dahi,nan,,,,,0
Boi-1da,nan,,,,,0
Dan Auerbach,nan,,,,,0
Too Late Now (Soulwax Remix),nan,,,,,0
Slow Song (Paul Woolford Remix),nan,,,,,0
Easy Lover (Four Tet Remix),nan,,,,,0
BREAK MY SOUL (Terry Hunter Remix),nan,,,,,0
Tuvayhun — Beatitudes For A Wounded World,nan,,,,,0
Picturing The Invisible - Focus 1,nan,,,,,0
Memories...Do Not Open,nan,,,,,0
AGUILERA,nan,,,,,0
Williams: Violin Concerto No. 2 & Selected Film Themes,nan,,,,,0
Tuvayhun - Beatitudes For A Wounded World,nan,,,,,0
Perspectives,Nandez,Inagua,2018-04-16,0.0,464692.0,0
Beethoven: Symphony No. 6; Stucky: Silent Spring,nan,,,,,0
Elaine Martone,nan,,,,,0
James Ginsburg,nan,,,,,0
Christoph Franke,nan,,,,,0
Jonathan Allen,nan,,,,,0
John Williams - The Berlin Concert,nan,,,,,0
Eastman: Stay On It,nan,,,,,0
Dvorák: Symphonies Nos. 7-9,nan,,,,,0
"Adams, John Luther: Sila - The Breath Of The World",nan,,,,,0
Davis: X - The Life And Times Of Malcolm X,nan,,,,,0
Aucoin: Eurydice,nan,,,,,0
Verdi: Requiem - The Met Remembers 9/11,nan,,,,,0
Bach: St. John Passion,nan,,,,,0
You Don't Know What Love Is - Remastered,Nancy Wilson,The Great American Songbook,2005,3.0,156760.0,0
Perspectives,Nandez,Inagua,2018-04-16,0.0,464692.0,0
Musical Remembrances,nan,,,,,0
"Beethoven: Complete String Quartets, Volume 2 - The Middle Quartets",nan,,,,,0
A Night In Upper Town - The Music Of Zoran Krajacic,nan,,,,,0
Beethoven: Diabelli Variations,nan,,,,,0
Bach: The Art Of Life,nan,,,,,0
Abels: Isolation Variation,nan,,,,,0
Stranger - Works For Tenor By Nico Muhly,nan,,,,,0
"Okpebholo: Lord, How Come Me Here?",nan,,,,,0
How Do I Find You,nan,,,,,0
Eden,Nanoled,Presni,2021-12-26,0.0,180000.0,0
The Lost Birds,nan,,,,,0
A Concert For Ukraine,nan,,,,,0
Aspire,nan,,,,,0
Simon: Requiem For The Enslaved,nan,,,,,0
Gubaidulina: The Wrath Of God,nan,,,,,0
Bermel: Intonations,nan,,,,,0
Akiho: Ligneous Suite,nan,,,,,0
As It Was,Harry Styles,As It Was,2022-03-31,89.0,167303.0,0
The Heart Part 5,Kendrick Lamar,The Heart Part 5,2022-05-08,63.0,332228.0,0
Woman,Doja Cat,Planet Her,2021-06-25,83.0,172626.0,0
Yet To Come,BTS,Proof,2022-06-10,78.0,193593.0,0
Easy On Me,Adele,Easy On Me,2021-10-14,81.0,224694.0,0
"BARN: A Band, A Brotherhood, A Barn",Neil Young,,,,,0
Motomami (Rosalía Tiktok Live Performance),Rosalía,,,,,0
Billie Eilish Live At The O2,Billie Eilish,,,,,0
Our World,Justin Bieber,,,,,0
Adele One Night Only,Adele,,,,,0
Leave The Door Open,Silk Sonic,,,,,1
WE ARE,Jon Batiste,WE ARE,2021-03-19,39.0,264501.0,1
Leave The Door Open,nan,,,,,1
Olivia Rodrigo,nan,,,,,1
drivers license,Olivia Rodrigo,SOUR,2021-05-21,82.0,242013.0,1
Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021-06-25,78.0,208666.0,1
So In Love,Tony Bennett,Love For Sale (Deluxe),2021-10-01,46.0,271333.0,1
Happier (Sour),Olivia Eldredge,Happier (Sour),2021-07-12,1.0,176195.0,1
Alive,RÜFÜS DU SOL,Alive,2021-07-13,56.0,334754.0,1
Subconsciously,Black Coffee,,,,,1
Tree Fell,Taylor Eigsti,Tree Falls,2021-05-21,22.0,91707.0,1
Making A Fire,Foo Fighters,Medicine At Midnight,2021-02-05,51.0,255106.0,1
The Alien,Dream Theater,A View From The Top Of The World,2021-10-22,42.0,571920.0,1
Waiting On A War,nan,,,,,1
Medicine At Midnight,Foo Fighters,Medicine At Midnight,2021-02-05,42.0,209720.0,1
Daddy's Home,St. Vincent,Daddy's Home,2021-05-14,32.0,199613.0,1
Pick Up Your Feelings,Jazmine Sullivan,Heaux Tales,2021-01-07,57.0,229413.0,1
Leave The Door Open,Silk Sonic,,,,,1
"Fight For You - From the Original Motion Picture ""Judas and the Black Messiah""",H.E.R.,"Fight For You (From the Original Motion Picture ""Judas and the Black Messiah"")",2021-02-04,46.0,270710.0,1
Leave The Door Open,nan,,,,,1
Table For Two,Lucky Daye,,,,,1
Heaux Tales,Jazmine Sullivan,,,,,1
family ties (with Kendrick Lamar),Baby Keem,The Melodic Blue,2021-09-10,78.0,252262.0,1
Hurricane,Kanye West,Donda,2021-08-29,70.0,243187.0,1
Please Mr Jailer,Nancy And Beth,Nancy And Beth,2017-04-07,12.0,180386.0,1
Call Me If You Get Lost,nan,,,,,1
You Should Probably Leave,Chris Stapleton,Starting Over,2020-11-13,75.0,213493.0,1
Younger Me,Brothers Osborne,Younger Me,2021-04-16,37.0,206853.0,1
Cold Wind,Elijah Nang,Lost in Japan II,2018-04-09,30.0,234285.0,1
Starting Over,Chris Stapleton,Starting Over,2020-11-13,70.0,240413.0,1
Divine Tides,Stewart Copeland,,,,,1
Humpty Dumpty (Set 2),nan,,,,,1
Songwrights Apothecary Lab,Esperanza Spalding,,,,,1
Skyline,Ron Carter,,,,,1
"For Jimmy, Wes And Oliver",Christian McBride Big Band,,,,,1
Mirror Mirror,Eliane Elias,Mirror Mirror,2021-09-10,13.0,293773.0,1
Never Lost,nan,,,,,1
Believe For It,nan,,,,,1
Believe For It (feat. Lauren Daigle),CeCe Winans,Believe For It (feat. Lauren Daigle),2021-09-10,50.0,338194.0,1
Old Church Basement (feat. Dante Bowe),Elevation Worship,Old Church Basement,2021-04-30,56.0,402803.0,1
My Savior,Carrie Underwood,,,,,1
Mendó,Alex Cuba,,,,,1
EL MUNDO ES MÍO,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,62.0,165199.0,1
Origen,Juanes,,,,,1
México Lindo y Querido,Vicente Fernández,A Mis 80's,2020-12-04,26.0,210988.0,1
Salswing!,nan,,,,,1
CRY,Jon Batiste,WE ARE,2021-03-19,48.0,237244.0,1
Made Your Mama Cry,Nana Lourdes,Made Your Mama Cry,2021-06-30,43.0,158451.0,1
Native Son,Los Lobos,Native Sons,2021-07-30,28.0,190641.0,1
My Bluegrass Heart,Béla Fleck,,,,,1
Step In,Cedric Burnside,I Be Trying,2021-06-25,46.0,155026.0,1
662,"Christone ""Kingfish"" Ingram",662,2021-07-23,43.0,197781.0,1
They're Calling Me Home,Rhiannon Giddens,,,,,1
Kau Ka Pe'a,Kalani Pe'a,Kau Ka Pe'a,2021-04-30,20.0,203337.0,1
Beauty In The Silence,Soja,,,,,1
Mohabbat,Arooj Aftab,Vulture Prince,2021-04-23,45.0,462500.0,1
Mother Nature,Angelique Kidjo,Mother Nature,2021-06-18,25.0,179226.0,1
Crayons Are Wonderful,Falu,A Colorful World,2021-09-24,6.0,157253.0,1
Carry On: Reflections For A New Generation From John Lewis,Don Cheadle,,,,,1
Sincerely Louis CK,Louis C.K.,,,,,1
The Unofficial Bridgerton Musical,nan,,,,,1
"Tigress & Tweed (Music from the Motion Picture ""The United States vs. Billie Holiday"")",Andra Day,"Tigress & Tweed (Music from the Motion Picture ""The United States vs. Billie Holiday"")",2021-01-26,32.0,191482.0,1
The Queen's Gambit,nan,,,,,1
All Or Nothing - Fed Nance Soul Treat,Fed Nance,All Or Nothing (Fed Nance Soul Treat),2022-12-09,43.0,126681.0,1
All Eyes On Me [From Inside],nan,,,,,1
Eberhard,nan,,,,,1
"Meta Knight's Revenge (From \""Kirby Superstar\"")",nan,,,,,1
To The Edge Of Longing (Edit Version),nan,,,,,1
Pakelang,nan,,,,,1
All Things Must Pass: 50th Anniversary Edition,nan,,,,,1
The Complete Louis Armstrong Columbia And RCA Victor Studio Sessions 1946-1966,nan,,,,,1
"Joni Mitchell Archives, Vol. 1: The Early Years (1963-1967)",nan,,,,,1
Love For Sale,Nannie Porres,Jazz Singing Essentials,2017-08-16,0.0,249440.0,1
Jack Antonoff,nan,,,,,1
Passenger (Mike Shinoda Remix),nan,,,,,1
Alicia,Nando,Por Sevillanas,1988,0.0,208992.0,1
Chanticleer Sings Christmas,nan,,,,,1
Judith Sherman,nan,,,,,1
Price: Symphonies Nos. 1 & 3,nan,,,,,1
Glass: Akhnaten,nan,,,,,1
"Mahler: Symphony No. 8, 'Symphony Of A Thousand'",nan,,,,,1
Beethoven: Cello Sonatas - Hope Amid Tears,nan,,,,,1
Alone Together,Nancy LaMott,"The Jazz Singer: United Souls Collection, Vol. 6",2015-05-11,0.0,203853.0,1
Mythologies,nan,,,,,1
Women Warriors - The Voices Of Change,nan,,,,,1
Shaw: Narrow Sea,nan,,,,,1
FREEDOM,Jon Batiste,WE ARE,2021-03-19,55.0,178289.0,1
Summer With You - Original Mix,Nanuq,Soundz of Soul EP Vol 1,2013-04-22,0.0,268548.0,1
Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021-06-25,78.0,208666.0,0
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,2021-09-17,78.0,137704.0,0
drivers license,Olivia Rodrigo,SOUR,2021-05-21,82.0,242013.0,0
Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,82.0,298899.0,0
Right on Time,Brandi Carlile,In These Silent Days,2021-10-01,52.0,185228.0,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,2021-03-19,80.0,198081.0,0
I Get A Kick Out Of You,Tony Bennett,Love For Sale (Deluxe),2021-10-01,49.0,213960.0,0
FREEDOM,Jon Batiste,WE ARE,2021-03-19,55.0,178289.0,0
I Still Have Faith In You,ABBA,I Still Have Faith In You / Don't Shut Me Down,2021-09-02,55.0,310720.0,0
Justice (Triple Chucks Deluxe),Justin Bieber,,,,,0
Planet Her (Deluxe),Doja Cat,,,,,0
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,2021-09-17,78.0,137704.0,0
Donda,Kanye West,Donda,2021-08-29,48.0,128313.0,0
Back of My Mind (feat. Ty Dolla $ign),H.E.R.,Back of My Mind,2021-06-18,48.0,221133.0,0
Happier (Sour),Olivia Eldredge,Happier (Sour),2021-07-12,1.0,176195.0,0
evermore (feat. Bon Iver),Taylor Swift,evermore,2020-12-11,61.0,304106.0,0
Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,82.0,298899.0,0
So In Love,Tony Bennett,Love For Sale (Deluxe),2021-10-01,46.0,271333.0,0
Kiss Me One More Time,Nanna Larsen,Moonchild,2007-04-23,0.0,189506.0,0
Peaches,Nana Lourdes,Wyoming,2022-11-11,11.0,226057.0,0
Right on Time,Nan Wicker,A Loving Way Home,2018-12-10,0.0,200885.0,0
Montero (Call Me By Your Name),nan,,,,,0
Happier Than Ever,nan,,,,,0
Fight for you,Emce Nano,Fight for you,2022-10-09,0.0,127190.0,0
drivers license,nan,,,,,0
A Beautiful Noise,nan,,,,,0
Bad Habits,Soultalk Nando,Bad Habits,2021-04-02,0.0,200063.0,0
Saweetie,nan,,,,,0
Arlo Parks,nan,,,,,0
The Kid LAROI,nan,,,,,0
Japanese Breakfast,nan,,,,,0
Glass Animals,nan,,,,,0
FINNEAS,nan,,,,,0
Baby Keem,nan,,,,,0
Jimmie Allen,nan,,,,,0
Arooj Aftab,nan,,,,,0
positions,Ariana Grande,Positions,2020-10-30,80.0,172324.0,0
Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,82.0,298899.0,0
Right on Time,Brandi Carlile,In These Silent Days,2021-10-01,52.0,185228.0,0
Anyone,Justin Bieber,Loop Factory Vol 02,2023-02-23,0.0,190779.0,0
Higher Power,Coldplay,Everyday Favorites,2023-02-18,1.0,211294.0,0
Butter,BTS,Proof,2022-06-10,76.0,164952.0,0
Lonely (with benny blanco),Justin Bieber,Justice,2021-03-19,69.0,149189.0,0
I Get A Kick Out Of You,Tony Bennett,Love For Sale (Deluxe),2021-10-01,49.0,213960.0,0
All I Want For Christmas Is You,Dolly Parton,A Holly Dolly Christmas (Deluxe Edition),2020-10-02,22.0,244874.0,0
That's Life,Willie Nelson,That's Life,2021-02-26,29.0,219040.0,0
Ledisi Sings Nina,Ledisi,,,,,0
"O Come, O Come Emmanuel / O Come All Ye Faithful",Tori Kelly,A Tori Kelly Christmas,2020-10-30,26.0,190909.0,0
‘Til We Meet Again (Live),Norah Jones,,,,,0
positions,Ariana Grande,Positions,2020-10-30,80.0,172324.0,0
Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,82.0,298899.0,0
Planet Her (Deluxe),Doja Cat,,,,,0
Justice (Triple Chucks Deluxe),Justin Bieber,,,,,0
Hero,AFROJACK,Hero,2021-04-30,57.0,171840.0,0
Heartbreak,Bonobo,Heartbreak,2020-09-23,44.0,265017.0,0
You Can Do It,Caribou,You Can Do It,2021-08-24,34.0,228807.0,0
The Business,Tiësto,The Business,2020-09-16,78.0,164000.0,0
Before,James Blake,Before,2020-10-14,39.0,287871.0,0
Loom - Sunrise Session II,Ólafur Arnalds,Loom (Sunrise Session II),2022-04-01,48.0,226000.0,0
Judgement,Ten City,Judgement,2021-06-18,5.0,190733.0,0
Free,Sylvan Esso,Free Love,2020-09-25,29.0,156240.0,0
Shockwave,Marshmello,Shockwave,2021-06-11,63.0,181283.0,0
Music Is The Weapon (Reloaded),Major Lazer,,,,,0
Fallen Embers,ILLENIUM,,,,,0
"Deep: The Baritone Sessions, Vol. 2",Mark Lettieri,,,,,0
At Blue Note Tokyo,Steve Gadd Band,,,,,0
The Garden,Rachel Eckroth,The Garden,2021-09-03,2.0,316720.0,0
Double Dealin’,Randy Brecker,Double Dealin',2020-09-11,11.0,250413.0,0
Ohms,Deftones,all out metal,2023-02-24,0.0,250222.0,0
Nothing Compares 2 U - Live At SiriusXM/2015,Chris Cornell,Chris Cornell (Deluxe Edition),2018-11-16,56.0,303906.0,0
Know You Better - Live from Capitol Studio A,Black Pumas,Black Pumas (Expanded Deluxe Edition),2021-03-10,13.0,361009.0,0
Shot In The Dark,AC/DC,POWER UP,2020-11-13,61.0,185133.0,0
The Triumph of King Freak (A Crypt of Preservation and Superstition),Rob Zombie,The Lunar Injection Kool Aid Eclipse Conspiracy,2021-03-12,43.0,247040.0,0
Pushing the Tides,Mastodon,Hushed and Grim,2021-10-29,43.0,209932.0,0
Amazonia,Gojira,Fortitude,2021-04-30,55.0,300783.0,0
Genesis,Deftones,Ohms,2020-09-25,52.0,317281.0,0
The Mexican Bandit,Ray Nance,A Flower Is A Lonesome Thing,2011-04-30,0.0,163314.0,0
Finding My Way Back to You,Nanoshrine,Finding My Way Back to You,2020-10-31,19.0,132468.0,0
Go The Distance,nanobii,Go The Distance,2017-09-01,33.0,231861.0,0
All My Favorite Songs,nan,,,,,0
McCartney III,Paul McCartney,,,,,0
No One Sings Like You Anymore Vol. 1,Chris Cornell,,,,,0
Colors - Live from Capitol Studio A,Black Pumas,Capitol Cuts (Live from Capitol Studio A),2021-10-22,16.0,397482.0,0
Power Up,AC/DC,,,,,0
Collapsed In Sunbeams,Arlo Parks,Collapsed In Sunbeams,2021-01-29,37.0,54746.0,0
Jubilee,Japanese Breakfast,,,,,0
"If I Can't Have Love, I Want Power",Halsey,,,,,0
Shore,Fleet Foxes,Shore,2020-09-22,30.0,259986.0,0
Damage,H.E.R.,Damage,2020-10-21,59.0,223414.0,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,2021-03-19,80.0,198081.0,0
LOST YOU,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,2021-07-09,54.0,177720.0,0
How Much Can A Heart Take (feat. Yebba),Lucky Daye,Table For Two,2021-02-12,53.0,302240.0,0
Born Again (feat. Robert Glasper),Leon Bridges,Gold-Diggers Sound,2021-07-23,36.0,223248.0,0
Bring it on Home to Me (feat. Charlie Bereal),BJ The Chicago Kid,Bring it on Home to Me (feat. Charlie Bereal),2021-04-23,46.0,201600.0,0
I NEED YOU,Jon Batiste,WE ARE,2021-03-19,50.0,157133.0,0
Those Good Old Days,Nancy Moran,A Little Off Balance,1991-01-01,0.0,235826.0,0
Pick Up Your Feelings,nan,,,,,0
Heartbreak Anniversary,nan,,,,,0
Damage Dealer - Original mix,Carlito Nandi,Damage Dealer,2022-04-11,13.0,232500.0,0
Studying Abroad: Extended Stay,Masego,,,,,0
Dinner Party: Dessert,Terrace Martin,,,,,0
Mood Valiant,Hiatus Kaiyote,,,,,0
Something To Say,Cory Henry,,,,,0
New Light,Eric Bellinger,,,,,0
Back of My Mind (feat. Ty Dolla $ign),H.E.R.,Back of My Mind,2021-06-18,48.0,221133.0,0
Gold-Diggers (Junior's Fanfare),Leon Bridges,Gold-Diggers Sound,2021-07-23,29.0,41945.0,0
WE ARE,Jon Batiste,WE ARE,2021-03-19,39.0,264501.0,0
TEMPORARY HIGHS,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,2021-07-09,34.0,80066.0,0
Thot Shit,Megan Thee Stallion,Thot Shit,2021-06-11,66.0,184634.0,0
m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,2021-05-14,76.0,218801.0,0
Up,Cardi B,Up,2021-02-05,69.0,156944.0,0
Wusyaname,Youngboy Never Broke Again,,,,,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,80.0,212000.0,0
Need to Know,Doja Cat,Planet Her,2021-06-25,78.0,210560.0,0
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,The Off-Season,2021-05-14,73.0,218210.0,0
M Y . L I F E,nan,,,,,0
Family Ties,Nando Gvni,The 5ive: East End,2020-12-31,0.0,185910.0,0
Best Friends You and Me,Fancy Nancy - Cast,Disney Junior Music: Fancy Nancy Vol. 2,2020-05-08,23.0,100612.0,0
Bath Salts,nan,,,,,0
King's Disease II,Nas,,,,,0
Donda,Kanye West,Donda,2021-08-29,48.0,128313.0,0
The Off-Season,J. Cole,,,,,0
camera roll,Kacey Musgraves,star-crossed,2021-09-10,47.0,159320.0,0
All I Do Is Drive,Jason Isbell,The Ice Road,2021-06-25,30.0,170047.0,0
Remember Her Name,Mickey Guyton,Celebrating Women 2023,2023-02-17,0.0,178040.0,0
Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,75.0,232533.0,0
Drunk (And I Don't Wanna Go Home),Elle King,Drunk (And I Don't Wanna Go Home),2021-02-26,69.0,245625.0,0
Chasing After You (with Maren Morris),Ryan Hurd,Chasing After You (with Maren Morris),2021-02-12,65.0,207973.0,0
Glad You Exist,Dan + Shay,Good Things,2021-08-13,62.0,144760.0,0
If I Didn't Love You,Jason Aldean,MACON,2021-11-12,67.0,212030.0,0
Remember Her Name,nan,,,,,0
Fancy Like,nan,,,,,0
Country Again,nan,,,,,0
camera roll,nan,,,,,0
Better Than We Found It,nan,,,,,0
"One in the Saddle, One on the Ground",Sturgill Simpson,The Ballad of Dood & Juanita,2021-08-20,43.0,195925.0,0
The Marfa Tapes,Miranda Lambert,,,,,0
Remember Her Name,Mickey Guyton,Celebrating Women 2023,2023-02-17,0.0,178040.0,0
Skeletons,Brothers Osborne,Skeletons,2020-10-09,46.0,219440.0,0
Pieces of Forever (Prelude),Laura Sullivan,Pieces of Forever,2021-09-24,27.0,90872.0,0
Opium Moon: Night,Opium Moon,Night + Day,2021-08-27,4.0,448737.0,0
Pangaea,Wouter Kellerman,,,,,0
Brothers,Will Ackerman,,,,,0
An Absence of Hope,Nanaki,The Dying Light,2014,0.0,294413.0,0
Bigger Than Us,nan,,,,,0
Kick Those Feet,nan,,,,,0
Sackodougou,nan,,,,,0
Flor De Lis,Gretchen Parlato,Gretchen Parlato,2005-01-01,21.0,390480.0,0
Time Traveler,Nnenna Freelon,Time Traveler,2021-05-21,2.0,269786.0,0
SuperBlue,Kurt Elling,SuperBlue,2021-09-30,20.0,285286.0,0
Generations,The Baylor Project,,,,,0
Side-Eye NYC (V1.IV),Pat Metheny,,,,,0
Akoustic Band LIVE,Chick Corea,,,,,0
Absence,Terence Blanchard,Absence,2021-08-27,12.0,414613.0,0
Jazz Selections: Music From And Inspired By Soul,Jon Batiste,,,,,0
Jackets XL,nan,,,,,0
Swirling,Sun Ra Arkestra,Swirling,2020-10-30,5.0,461733.0,0
Dear Love,Jazzmeia Horn,,,,,0
Live At Birdland!,Scotty Barnhart,,,,,0
El Arte Del Bolero,Miguel Zenón,,,,,0
Transparency,Dafnis Prieto Sextet,,,,,0
Virtual Birdland,Arturo O'Farrill,,,,,0
The South Bronx Story,nan,,,,,0
Waiting for You,Nancy G,On Top of the World,2013,0.0,277786.0,0
White Noise Help You Sleep and Rest,The Noise Nannies,Rest Easy with White Noise,2023-02-24,0.0,84457.0,0
(Joyful Heart teaching),Nancy Barlow,A Day With Jesus,2012-02-02,0.0,29813.0,0
"I lift Up My Voice, Se Yegyewoakyiri, Tete Nyame, Wo ye Tete (Worship Medley)",Pastor Godwin Nana Ofori,Nkanyan (Revival),2022-08-19,0.0,627960.0,0
"In the Shadow of the Glen: Your Words Are Hard, Old Man",Nancy Van de Vate,"Opera & Music Theater, Vol. 3",2013-10-01,0.0,183826.0,0
Jireh,nan,,,,,0
Hold Us Together (Hope Mix),nan,,,,,0
We Winning,Nando,W.I.N.,2013-09-26,0.0,184791.0,0
Changing Your Story - Live,Jekalyn Carr,Changing Your Story,2020-10-23,27.0,409742.0,0
Jubilee: Juneteenth Edition,Maverick City Music,,,,,0
Jonny X Mali: Live In LA,Jonathan McReynolds,,,,,0
Royalty - Live,Tasha Cobbs Leonard,Royalty: Live At The Ryman,2020-09-25,28.0,416554.0,0
Citizen of Heaven (Live),Tauren Wells,Citizen of Heaven (Live),2021-04-16,21.0,235050.0,0
The Blessing - Live,Kari Jobe,The Blessing (Live),2020-03-20,58.0,514665.0,0
Feels Like Home Vol. 2,nan,,,,,0
No Stranger,Natalie Grant,No Stranger,2020-09-25,21.0,386960.0,0
Songs For The Times,The Isaacs,,,,,0
Keep On Keeping On,Ernie Haase & Signature Sound,Keeping On,2021-07-23,15.0,219053.0,0
"That's Gospel, Brother",Gaither Vocal Band,"That's Gospel, Brother",2021-03-19,13.0,178253.0,0
Alone With My Faith,nan,,,,,0
Revelación,Selena Gomez,,,,,0
Mis Manos,Camilo,,,,,0
Hecho A La Antigua,Ricardo Arjona,,,,,0
Mis Amores,Paula Arenas,,,,,0
Vértigo,Pablo Alborán,Vértigo,2020-12-11,34.0,179530.0,0
Sin Miedo (Del Amor Y Otros Demonios) 8,Kali Uchis,,,,,0
KG0516,KAROL G,,,,,0
Jose,J Balvin,,,,,0
Afrodisíaco,Rauw Alejandro,,,,,0
Sonidos De Karmática Resonancia,Zoé,,,,,0
El Madrileño,C. Tangana,,,,,0
Calambre,Nathy Peluso,,,,,0
Mira Lo Que Me Hiciste Hacer (Deluxe Edition),Diamante Eléctrico,,,,,0
Deja,Bomba Estéreo,Deja,2021-09-10,43.0,230893.0,0
AYAYAY!,Christian Nodal,AYAYAY! (Súper Deluxe),2021-02-26,34.0,130759.0,0
"Un Canto Por México, Vol. II",Natalia Lafourcade,,,,,0
Seis,Mon Laferte,,,,,0
"Antología De La Musica Ranchera, Vol. 2",Aida Cuevas,,,,,0
Sentimiento Original - Live In Peru,Tony Succar,Live In Peru,2021-05-21,27.0,562853.0,0
Colegas,Gilberto Santa Rosa,,,,,0
Sin Salsa No Hay Paraíso,Aymée Nuviola,,,,,0
